Name,Score,Weight
Taylor Negron,4.88,1.5
Christopher Evan Welch,6.09379310345,2.9
Florence Paterson,6.265,1.0
Geraldine Singer,4.09,0.5
Mary Steenburgen,6.20402061856,9.7
Rosalinda Celentano,4.83,0.5
Kirk Taylor,6.48,1.0
John Eng,5.5,3.5
Terence Kelly,5.17,2.0
Nathaniel Parker,5.53,6.2
James Spader,6.26729041916,26.72
Bilge Jeschim,6.64,0.5
Rick Leckinger,5.88,0.5
Brendan Hood,5.06,1.3
David Belenky,5.48,0.5
Bill Baer,5.81,1.3
Carl Dixon,6.04,0.5
Mehmet Kurtulus,5.06,0.5
Fernando Meirelles,5.56,3.5
Christopher Tierney,6.21,0.5
Ana Imnadze,3.82,0.5
Joseph Badalucco Jr.,5.945,1.0
Bryan Clark,4.58,1.9
Bill Moseley,6.01791497976,9.88
Michael Griffiths,6.69,0.5
Jerry Della Salla,5.97,0.5
Mark Christopher Lawrence,5.82066889632,5.98
Henri Falconi,7.53,0.5
Tom Attenborough,6.04,0.5
Dick Crockett,6.76,0.5
John Romano,6.53,1.3
James Kirk,5.7925,2.0
Jason White,5.58,0.5
Steve Lemme,5.59411764706,3.4
Joshua Bridgewater,5.95,0.5
Robert Smith,5.485,1.0
Keith Flippen,4.66,0.5
Ted Wass,4.62,5.48
Ebony Monique Solomon,5.72,0.5
Terry McMillan,5.59,2.6
Dennis Banks,6.84,0.5
Dave Pope,5.89,0.5
Gregg Rainwater,4.52,0.5
Oliver Coleman,6.07,0.5
Matthew R. Anderson,5.44,5.48
Richard Lynch,5.22786637931,9.28
Mano Maniam,5.87,0.5
Cesar Flores,5.32,0.5
Carice van Houten,6.04,1.0
Ben Hyland,6.5,0.5
Elliott Gould,5.23318181818,4.4
Britt Leach,5.93,1.0
Tara Strong,5.80603839442,11.46
David Chung,5.53,1.0
Leo Petrie,6.74,0.5
Michael Taliferro,5.87823529412,3.4
Paul Onsongo,5.8,0.5
Barclay Wright,5.93,0.5
Tracy Brooks Swope,4.95,0.5
Linda Peeno,7.08,0.5
Adam Weisman,4.75,0.5
Michael Pierangeli,6.86,0.5
Jon Paul Steuer,5.77,0.5
Jonathan Roumie,6.38,1.9
Mark DiSalle,6.3,5.3
Greg Melvill-Smith,7.17,0.5
Ric Gibbs,4.32,1.3
Nelson Vasquez,5.35,0.5
Kristen Connolly,6.38137123746,5.98
Vanessa Aspillaga,5.97,0.5
