imdb_id,title,rating,directors,writers,actors,budget,gross,financial score,score
tt1216492,Leap Year,6.1,['Anand Tucker'],"['Deborah Kaplan', 'Harry Elfont']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow', ""Noel O'Donovan"", 'Tony Rohr', 'Pat Laffan', 'Alan Devlin', 'Ian McElhinney', 'Dominique McElligott', ""Mark O'Regan"", 'Maggie McCarthy', ""Peter O'Meara"", 'Macdara  Fatharta', 'Kaitlin Olson']","$19,000,000 ","$12,561 ",1.91 ,4.00 
tt0318081,A Sound of Thunder,4.1,['Peter Hyams'],"['Ray Bradbury', 'Thomas Dean Donnelly']","['Armin Rohde', 'Heike Makatsch', 'Jemima Rooper', 'David Oyelowo', 'Wilfried Hochholdinger', 'Edward Burns', 'August Zirner', 'Ben Kingsley', 'Catherine McCormack', 'Alvin Van Der Kuech', 'Andrew Blanchard', 'William Armstrong', 'Corey Johnson', 'Nikita Lespinasse', 'Scott Bellefeville']","$52,000,000 ","$1,891,821 ",3.91 ,4.01 
tt0196106,MVP: Most Valuable Primate,3.1,['Robert Vince'],"['Anne Vince', 'Robert Vince']","['Bernie', 'Louie', 'Mac', 'Russell Ferrier', 'Lomax Study', 'Kevin Zegers', 'Jamie Rene Smith', 'Alexa Fox', 'Jane Sowerby', 'Ingrid Tesch', 'Philip Granger', 'Rick Ducommun', 'Aaron Smolinski', 'Shane Vajda', 'Trevor Roberts']","$4,500,000 ","$1,246,237 ",4.92 ,4.01 
tt0470679,August,5.3,['Austin Chick'],['Howard A. Rodman'],"['Josh Hartnett', 'Naomie Harris', 'Adam Scott', 'Robin Tunney', 'Andre Royo', 'Emmanuelle Chriqui', 'Laila Robins', 'Caroline Lagerfelt', 'Alan Cox', 'David Bowie', 'Rip Torn', 'Jeremy Bobb', 'Jason Calacanis', 'Joie Chen', 'Athena Currey']","$3,400,000 ","$11,762 ",2.74 ,4.02 
tt0880648,Shuttle,5.6,['Edward Anderson'],['Edward Anderson'],"['Tony Curran', 'Peyton List', 'Cameron Goodman', 'Cullen Douglas', 'Dave Power', 'James Snyder', 'Tom Kemp', 'Kaylan Tracey', 'Jen Alison Lewis', 'James Ryen', 'Jackie Cowls', 'Roy Souza']","$5,400,000 ","$10,625 ",2.45 ,4.03 
tt0460780,In the Name of the King: A Dungeon Siege Tale,3.8,['Uwe Boll'],"['Doug Taylor', 'Jason Rappaport']","['Jason Statham', 'Leelee Sobieski', 'John Rhys-Davies', 'Ron Perlman', 'Claire Forlani', 'Kristanna Loken', 'Matthew Lillard', 'Brian White', 'Mike Dopud', 'Will Sanderson', 'Tania Saulnier', 'Ray Liotta', 'Burt Reynolds', 'Gabrielle Rose', 'Terence Kelly']","$60,000,000 ","$4,535,117 ",4.28 ,4.04 
tt0242508,Harvard Man,4.8,['James Toback'],['James Toback'],"['Adrian Grenier', 'Sarah Michelle Gellar', 'Joey Lauren Adams', 'Eric Stoltz', 'Rebecca Gayheart', 'Gianni Russo', 'Ray Allen', 'Michael Aparo', 'Scottie Epstein', 'John Neville', 'Polly Shannon', 'Phillip Jarrett', 'Adam Bloch', 'Lauren Collis', 'Landy Cannon']","$5,500,000 ","$56,653 ",3.28 ,4.04 
tt0799949,Epic Movie,2.2,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Kal Penn', 'Adam Campbell', 'Jennifer Coolidge', 'Jayma Mays', 'Faune A. Chambers', 'Crispin Glover', 'Tony Cox', 'Hctor Jimnez', 'Darrell Hammond', 'Carmen Electra', 'Fred Willard', 'David Carradine', 'Kevin McDonald', 'George Alvarez', 'Crista Flanagan']","$20,000,000 ","$39,739,367 ",5.91 ,4.05 
tt0484111,The Good Night,5.8,['Jake Paltrow'],['Jake Paltrow'],"['Keith Allen', 'Steffan Boje', 'Penlope Cruz', 'Danny DeVito', 'Sonia Doubell', 'Martin Freeman', 'Michael Gambon', 'Stephen Graham', 'Kate Harper', 'Juliana Kiehl', 'Bruno Lastra', 'Martino Lazzeri', 'Meredith MacNeill', 'Gwyneth Paltrow', 'Simon Pegg']","$15,000,000 ","$22,165 ",2.31 ,4.06 
tt0116756,Kazaam,2.6,['Paul Michael Glaser'],"['Paul Michael Glaser', 'Christian Ford', 'and 1 more credit']","[""Shaquille O'Neal"", 'Francis Capra', 'Ally Walker', 'James Acheson', 'John Costelloe', 'Marshall Manesh', 'Fawn Reed', 'JoAnne Hart', 'Brandon Durand', 'Wade Robson', 'Jake Glaser', 'Efren Ramirez', 'Jonathan Carrasco', 'Jesse Perez', 'Todd Sible']","$20,000,000 ","$18,876,581 ",5.54 ,4.07 
tt1001562,Witless Protection,2.9,['Charles Robert Carner'],"['Charles Robert Carner', 'Charles Robert Carner', 'and 1 more credit']","['Larry the Cable Guy', 'Richard Bull', 'J. David Moeller', 'Will Clinger', 'Omar Dykes', 'Reno Collier', 'Jenny McCarthy', 'Yaphet Kotto', 'Ivana Milicevic', 'Dan Waller', 'Rick Le Fevour', 'Joseph Luis Caballero', 'Sean Bridgers', 'Gerry Bednob', 'Claudia Michelle Wallace']","$7,500,000 ","$4,131,640 ",5.27 ,4.08 
tt1196340,Inhale,6.5,['Baltasar Kormkur'],"['Walter A. Doty III', 'John Claflin', 'and 1 more credit']","['Mia Stallard', 'Dermot Mulroney', 'Diane Kruger', 'Sam Shepard', 'Jordi Moll', 'Vincent Perez', 'Rosanna Arquette', 'David Selby', 'Cesar Ramos', 'Kristyan Ferrer', 'Arlin Alcala', 'Juan Avila', 'Nick Banks', 'Richard Barela', 'Daniel Barela']","$10,000,000 ","$4,115 ",1.67 ,4.09 
